,Start Date,End Date,Location,Urban Rural Code,FIPS State,FIPS County,FIPS Code,Indicator,Total deaths,COVID-19 Deaths,Non-Hispanic White,Non-Hispanic Black,Non-Hispanic American Indian or Alaska Native,Non-Hispanic Asian,Non-Hispanic Native Hawaiian or Other Pacific Islander,Hispanic,Other,Urban Rural Description,2020,2021,2022,Income_per_Capita
21,01/01/2020,09/23/2023,"Coffee, AL",5,1,31,1031,Distribution of all-cause deaths (%),1940,201,0.794,0.169,,0.01,,0.021,,Micropolitan,45039.0,50028.0,50729.0,48598.666666666664
22,01/01/2020,09/23/2023,"Coffee, AL",5,1,31,1031,Distribution of COVID-19 deaths (%),1940,201,0.796,0.154,,,,,,Micropolitan,45039.0,50028.0,50729.0,48598.666666666664
23,01/01/2020,09/23/2023,"Coffee, AL",5,1,31,1031,Distribution of population (%),1940,201,0.691,0.17,0.011,0.016,0.002,0.083,0.028,Micropolitan,45039.0,50028.0,50729.0,48598.666666666664
24,01/01/2020,09/23/2023,"Colbert, AL",4,1,33,1033,Distribution of all-cause deaths (%),2808,348,0.841,0.146,,,,0.01,,Small metro,40052.0,43782.0,44061.0,42631.666666666664
25,01/01/2020,09/23/2023,"Colbert, AL",4,1,33,1033,Distribution of COVID-19 deaths (%),2808,348,0.836,0.126,,,,0.034,,Small metro,40052.0,43782.0,44061.0,42631.666666666664
26,01/01/2020,09/23/2023,"Colbert, AL",4,1,33,1033,Distribution of population (%),2808,348,0.776,0.16,0.006,0.007,0.001,0.032,0.019,Small metro,40052.0,43782.0,44061.0,42631.666666666664
27,01/01/2020,09/23/2023,"Covington, AL",6,1,39,1039,Distribution of all-cause deaths (%),2178,263,0.879,0.114,,,,0.005,,Noncore,37926.0,41679.0,41543.0,40382.666666666664
28,01/01/2020,09/23/2023,"Covington, AL",6,1,39,1039,Distribution of COVID-19 deaths (%),2178,263,0.867,0.129,,,,,,Noncore,37926.0,41679.0,41543.0,40382.666666666664
29,01/01/2020,09/23/2023,"Covington, AL",6,1,39,1039,Distribution of population (%),2178,263,0.829,0.125,0.006,0.005,0.0,0.019,0.016,Noncore,37926.0,41679.0,41543.0,40382.666666666664
30,01/01/2020,09/23/2023,"Cullman, AL",5,1,43,1043,Distribution of all-cause deaths (%),4311,422,0.979,0.009,,,,0.009,,Micropolitan,42181.0,46762.0,49122.0,46021.666666666664
31,01/01/2020,09/23/2023,"Cullman, AL",5,1,43,1043,Distribution of COVID-19 deaths (%),4311,422,0.962,,,,,0.031,,Micropolitan,42181.0,46762.0,49122.0,46021.666666666664
32,01/01/2020,09/23/2023,"Cullman, AL",5,1,43,1043,Distribution of population (%),4311,422,0.917,0.013,0.006,0.006,0.001,0.045,0.013,Micropolitan,42181.0,46762.0,49122.0,46021.666666666664
33,01/01/2020,09/23/2023,"Dale, AL",5,1,45,1045,Distribution of all-cause deaths (%),1716,145,0.804,0.172,,,,0.016,,Micropolitan,40264.0,44101.0,43969.0,42778.0
34,01/01/2020,09/23/2023,"Dale, AL",5,1,45,1045,Distribution of COVID-19 deaths (%),1716,145,0.779,0.186,,,,,,Micropolitan,40264.0,44101.0,43969.0,42778.0
35,01/01/2020,09/23/2023,"Dale, AL",5,1,45,1045,Distribution of population (%),1716,145,0.68,0.204,0.007,0.014,0.001,0.069,0.024,Micropolitan,40264.0,44101.0,43969.0,42778.0
36,01/01/2020,09/23/2023,"Dallas, AL",5,1,47,1047,Distribution of all-cause deaths (%),1868,211,0.347,0.646,,,,,,Micropolitan,39269.0,42158.0,41812.0,41079.666666666664
37,01/01/2020,09/23/2023,"Dallas, AL",5,1,47,1047,Distribution of COVID-19 deaths (%),1868,211,0.318,0.678,,,,,,Micropolitan,39269.0,42158.0,41812.0,41079.666666666664
38,01/01/2020,09/23/2023,"Dallas, AL",5,1,47,1047,Distribution of population (%),1868,211,0.267,0.704,0.002,0.005,0.0,0.012,0.009,Micropolitan,39269.0,42158.0,41812.0,41079.666666666664
39,01/01/2020,09/23/2023,"DeKalb, AL",6,1,49,1049,Distribution of all-cause deaths (%),2851,211,0.96,0.019,,,,0.019,,Noncore,34596.0,40068.0,40558.0,38407.333333333336
40,01/01/2020,09/23/2023,"DeKalb, AL",6,1,49,1049,Distribution of COVID-19 deaths (%),2851,211,0.948,,,,,,,Noncore,34596.0,40068.0,40558.0,38407.333333333336
41,01/01/2020,09/23/2023,"DeKalb, AL",6,1,49,1049,Distribution of population (%),2851,211,0.796,0.014,0.012,0.004,0.001,0.153,0.021,Noncore,34596.0,40068.0,40558.0,38407.333333333336
42,01/01/2020,09/23/2023,"Escambia, AL",6,1,53,1053,Distribution of all-cause deaths (%),1635,169,0.689,0.267,0.034,,,,,Noncore,36380.0,39770.0,38838.0,38329.333333333336
43,01/01/2020,09/23/2023,"Escambia, AL",6,1,53,1053,Distribution of COVID-19 deaths (%),1635,169,0.609,0.337,,,,,,Noncore,36380.0,39770.0,38838.0,38329.333333333336
44,01/01/2020,09/23/2023,"Escambia, AL",6,1,53,1053,Distribution of population (%),1635,169,0.601,0.312,0.037,0.003,0.001,0.026,0.021,Noncore,36380.0,39770.0,38838.0,38329.333333333336
45,01/01/2020,09/23/2023,"Etowah, AL",4,1,55,1055,Distribution of all-cause deaths (%),6440,767,0.86,0.128,,0.002,,0.008,,Small metro,39607.0,42571.0,42951.0,41709.666666666664
46,01/01/2020,09/23/2023,"Etowah, AL",4,1,55,1055,Distribution of COVID-19 deaths (%),6440,767,0.866,0.124,,,,,,Small metro,39607.0,42571.0,42951.0,41709.666666666664
47,01/01/2020,09/23/2023,"Etowah, AL",4,1,55,1055,Distribution of population (%),6440,767,0.771,0.156,0.004,0.008,0.0,0.043,0.016,Small metro,39607.0,42571.0,42951.0,41709.666666666664
48,01/01/2020,09/23/2023,"Geneva, AL",4,1,61,1061,Distribution of all-cause deaths (%),1258,105,0.901,0.081,,,,0.011,,Small metro,38181.0,41771.0,41283.0,40411.666666666664
49,01/01/2020,09/23/2023,"Geneva, AL",4,1,61,1061,Distribution of COVID-19 deaths (%),1258,105,0.876,0.124,,,,,,Small metro,38181.0,41771.0,41283.0,40411.666666666664
50,01/01/2020,09/23/2023,"Geneva, AL",4,1,61,1061,Distribution of population (%),1258,105,0.832,0.091,0.009,0.003,0.0,0.043,0.021,Small metro,38181.0,41771.0,41283.0,40411.666666666664
51,01/01/2020,09/23/2023,"Houston, AL",4,1,69,1069,Distribution of all-cause deaths (%),8007,1079,0.736,0.244,0.001,0.004,,0.01,0.005,Small metro,47325.0,51215.0,51096.0,49878.666666666664
52,01/01/2020,09/23/2023,"Houston, AL",4,1,69,1069,Distribution of COVID-19 deaths (%),8007,1079,0.711,0.27,,,,0.012,,Small metro,47325.0,51215.0,51096.0,49878.666666666664
53,01/01/2020,09/23/2023,"Houston, AL",4,1,69,1069,Distribution of population (%),8007,1079,0.656,0.274,0.004,0.011,0.001,0.035,0.02,Small metro,47325.0,51215.0,51096.0,49878.666666666664
54,01/01/2020,09/23/2023,"Jackson, AL",5,1,71,1071,Distribution of all-cause deaths (%),2467,165,0.963,0.028,,,,0.007,,Micropolitan,38905.0,43061.0,43275.0,41747.0
55,01/01/2020,09/23/2023,"Jackson, AL",5,1,71,1071,Distribution of COVID-19 deaths (%),2467,165,0.982,,,,,,,Micropolitan,38905.0,43061.0,43275.0,41747.0
56,01/01/2020,09/23/2023,"Jackson, AL",5,1,71,1071,Distribution of population (%),2467,165,0.891,0.033,0.014,0.005,0.001,0.031,0.027,Micropolitan,38905.0,43061.0,43275.0,41747.0
57,01/01/2020,09/23/2023,"Jefferson, AL",1,1,73,1073,Distribution of all-cause deaths (%),42010,4003,0.625,0.355,0.001,0.004,0.0,0.011,0.003,Large central metro,58074.0,64006.0,66345.0,62808.333333333336
58,01/01/2020,09/23/2023,"Jefferson, AL",1,1,73,1073,Distribution of COVID-19 deaths (%),42010,4003,0.637,0.333,,0.005,,0.021,0.003,Large central metro,58074.0,64006.0,66345.0,62808.333333333336
59,01/01/2020,09/23/2023,"Jefferson, AL",1,1,73,1073,Distribution of population (%),42010,4003,0.492,0.434,0.002,0.018,0.0,0.041,0.013,Large central metro,58074.0,64006.0,66345.0,62808.333333333336
60,01/01/2020,09/23/2023,"Lauderdale, AL",4,1,77,1077,Distribution of all-cause deaths (%),5719,521,0.9,0.091,,,,0.006,,Small metro,42199.0,44530.0,45107.0,43945.333333333336
61,01/01/2020,09/23/2023,"Lauderdale, AL",4,1,77,1077,Distribution of COVID-19 deaths (%),5719,521,0.86,0.121,,,,,,Small metro,42199.0,44530.0,45107.0,43945.333333333336
62,01/01/2020,09/23/2023,"Lauderdale, AL",4,1,77,1077,Distribution of population (%),5719,521,0.843,0.098,0.004,0.008,0.0,0.03,0.016,Small metro,42199.0,44530.0,45107.0,43945.333333333336
63,01/01/2020,09/23/2023,"Lee, AL",4,1,81,1081,Distribution of all-cause deaths (%),5135,589,0.695,0.289,,0.007,,0.007,,Small metro,41326.0,45046.0,46691.0,44354.333333333336
64,01/01/2020,09/23/2023,"Lee, AL",4,1,81,1081,Distribution of COVID-19 deaths (%),5135,589,0.61,0.367,,,,,,Small metro,41326.0,45046.0,46691.0,44354.333333333336
65,01/01/2020,09/23/2023,"Lee, AL",4,1,81,1081,Distribution of population (%),5135,589,0.676,0.226,0.003,0.041,0.001,0.038,0.016,Small metro,41326.0,45046.0,46691.0,44354.333333333336
66,01/01/2020,09/23/2023,"Limestone, AL",3,1,83,1083,Distribution of all-cause deaths (%),3300,260,0.88,0.099,,0.003,,0.014,0.003,Medium metro,47831.0,52876.0,53944.0,51550.333333333336
67,01/01/2020,09/23/2023,"Limestone, AL",3,1,83,1083,Distribution of COVID-19 deaths (%),3300,260,0.892,0.085,,,,,,Medium metro,47831.0,52876.0,53944.0,51550.333333333336
68,01/01/2020,09/23/2023,"Limestone, AL",3,1,83,1083,Distribution of population (%),3300,260,0.757,0.136,0.006,0.017,0.001,0.062,0.021,Medium metro,47831.0,52876.0,53944.0,51550.333333333336
69,01/01/2020,09/23/2023,"Madison, AL",3,1,89,1089,Distribution of all-cause deaths (%),17531,1545,0.791,0.181,0.001,0.009,,0.015,0.003,Medium metro,56265.0,60198.0,61252.0,59238.333333333336
70,01/01/2020,09/23/2023,"Madison, AL",3,1,89,1089,Distribution of COVID-19 deaths (%),17531,1545,0.773,0.186,,0.01,,0.027,,Medium metro,56265.0,60198.0,61252.0,59238.333333333336
71,01/01/2020,09/23/2023,"Madison, AL",3,1,89,1089,Distribution of population (%),17531,1545,0.644,0.244,0.007,0.026,0.001,0.052,0.026,Medium metro,56265.0,60198.0,61252.0,59238.333333333336
72,01/01/2020,09/23/2023,"Marengo, AL",6,1,91,1091,Distribution of all-cause deaths (%),1016,126,0.455,0.532,,,,,,Noncore,43790.0,46837.0,46799.0,45808.666666666664
73,01/01/2020,09/23/2023,"Marengo, AL",6,1,91,1091,Distribution of COVID-19 deaths (%),1016,126,0.365,0.611,,,,,,Noncore,43790.0,46837.0,46799.0,45808.666666666664
74,01/01/2020,09/23/2023,"Marengo, AL",6,1,91,1091,Distribution of population (%),1016,126,0.443,0.514,0.002,0.003,0.0,0.028,0.01,Noncore,43790.0,46837.0,46799.0,45808.666666666664
75,01/01/2020,09/23/2023,"Marion, AL",6,1,93,1093,Distribution of all-cause deaths (%),1425,129,0.953,0.041,,,,,,Noncore,37100.0,41264.0,42330.0,40231.333333333336
76,01/01/2020,09/23/2023,"Marion, AL",6,1,93,1093,Distribution of COVID-19 deaths (%),1425,129,0.93,,,,,,,Noncore,37100.0,41264.0,42330.0,40231.333333333336
77,01/01/2020,09/23/2023,"Marion, AL",6,1,93,1093,Distribution of population (%),1425,129,0.917,0.038,0.004,0.003,0.0,0.026,0.012,Noncore,37100.0,41264.0,42330.0,40231.333333333336
78,01/01/2020,09/23/2023,"Marshall, AL",5,1,95,1095,Distribution of all-cause deaths (%),4915,400,0.955,0.015,,,,0.025,,Micropolitan,41147.0,45298.0,45892.0,44112.333333333336
79,01/01/2020,09/23/2023,"Marshall, AL",5,1,95,1095,Distribution of COVID-19 deaths (%),4915,400,0.902,,,,,0.085,,Micropolitan,41147.0,45298.0,45892.0,44112.333333333336
80,01/01/2020,09/23/2023,"Marshall, AL",5,1,95,1095,Distribution of population (%),4915,400,0.796,0.026,0.006,0.007,0.001,0.15,0.015,Micropolitan,41147.0,45298.0,45892.0,44112.333333333336
81,01/01/2020,09/23/2023,"Mobile, AL",3,1,97,1097,Distribution of all-cause deaths (%),21724,2052,0.646,0.329,0.007,0.007,,0.008,0.003,Medium metro,42416.0,47372.0,47586.0,45791.333333333336
82,01/01/2020,09/23/2023,"Mobile, AL",3,1,97,1097,Distribution of COVID-19 deaths (%),21724,2052,0.59,0.378,0.008,0.011,,0.011,,Medium metro,42416.0,47372.0,47586.0,45791.333333333336
83,01/01/2020,09/23/2023,"Mobile, AL",3,1,97,1097,Distribution of population (%),21724,2052,0.563,0.362,0.009,0.021,0.0,0.03,0.016,Medium metro,42416.0,47372.0,47586.0,45791.333333333336
84,01/01/2020,09/23/2023,"Montgomery, AL",3,1,101,1101,Distribution of all-cause deaths (%),12330,1570,0.475,0.505,,0.006,,0.01,0.003,Medium metro,46116.0,49165.0,49199.0,48160.0
85,01/01/2020,09/23/2023,"Montgomery, AL",3,1,101,1101,Distribution of COVID-19 deaths (%),12330,1570,0.442,0.538,,,,0.014,,Medium metro,46116.0,49165.0,49199.0,48160.0
86,01/01/2020,09/23/2023,"Montgomery, AL",3,1,101,1101,Distribution of population (%),12330,1570,0.319,0.595,0.002,0.033,0.0,0.037,0.013,Medium metro,46116.0,49165.0,49199.0,48160.0
87,01/01/2020,09/23/2023,"Morgan, AL",4,1,103,1103,Distribution of all-cause deaths (%),5310,478,0.861,0.116,,,,0.02,,Small metro,42823.0,46248.0,46203.0,45091.333333333336
88,01/01/2020,09/23/2023,"Morgan, AL",4,1,103,1103,Distribution of COVID-19 deaths (%),5310,478,0.803,0.149,,,,0.044,,Small metro,42823.0,46248.0,46203.0,45091.333333333336
89,01/01/2020,09/23/2023,"Morgan, AL",4,1,103,1103,Distribution of population (%),5310,478,0.749,0.127,0.008,0.006,0.001,0.087,0.021,Small metro,42823.0,46248.0,46203.0,45091.333333333336
90,01/01/2020,09/23/2023,"Pike, AL",5,1,109,1109,Distribution of all-cause deaths (%),1142,112,0.678,0.313,,,,,,Micropolitan,40936.0,45430.0,46766.0,44377.333333333336
91,01/01/2020,09/23/2023,"Pike, AL",5,1,109,1109,Distribution of COVID-19 deaths (%),1142,112,0.643,0.357,,,,,,Micropolitan,40936.0,45430.0,46766.0,44377.333333333336
92,01/01/2020,09/23/2023,"Pike, AL",5,1,109,1109,Distribution of population (%),1142,112,0.557,0.378,0.006,0.018,0.0,0.024,0.017,Micropolitan,40936.0,45430.0,46766.0,44377.333333333336
93,01/01/2020,09/23/2023,"Russell, AL",3,1,113,1113,Distribution of all-cause deaths (%),1571,115,0.64,0.336,,,,0.015,,Medium metro,35834.0,39584.0,38452.0,37956.666666666664
94,01/01/2020,09/23/2023,"Russell, AL",3,1,113,1113,Distribution of COVID-19 deaths (%),1571,115,0.687,0.287,,,,,,Medium metro,35834.0,39584.0,38452.0,37956.666666666664
95,01/01/2020,09/23/2023,"Russell, AL",3,1,113,1113,Distribution of population (%),1571,115,0.454,0.449,0.005,0.008,0.003,0.059,0.023,Medium metro,35834.0,39584.0,38452.0,37956.666666666664
96,01/01/2020,09/23/2023,"St. Clair, AL",2,1,115,1115,Distribution of all-cause deaths (%),3182,185,0.912,0.079,,,,0.004,,Large fringe metro,43432.0,47088.0,48058.0,46192.666666666664
97,01/01/2020,09/23/2023,"St. Clair, AL",2,1,115,1115,Distribution of COVID-19 deaths (%),3182,185,0.924,0.059,,,,,,Large fringe metro,43432.0,47088.0,48058.0,46192.666666666664
98,01/01/2020,09/23/2023,"St. Clair, AL",2,1,115,1115,Distribution of population (%),3182,185,0.849,0.097,0.003,0.009,0.001,0.025,0.015,Large fringe metro,43432.0,47088.0,48058.0,46192.666666666664
99,01/01/2020,09/23/2023,"Shelby, AL",2,1,117,1117,Distribution of all-cause deaths (%),5529,343,0.869,0.109,,0.007,,0.014,,Large fringe metro,59313.0,64523.0,67405.0,63747.0
100,01/01/2020,09/23/2023,"Shelby, AL",2,1,117,1117,Distribution of COVID-19 deaths (%),5529,343,0.81,0.143,,,,0.032,,Large fringe metro,59313.0,64523.0,67405.0,63747.0
101,01/01/2020,09/23/2023,"Shelby, AL",2,1,117,1117,Distribution of population (%),5529,343,0.767,0.135,0.003,0.023,0.0,0.058,0.014,Large fringe metro,59313.0,64523.0,67405.0,63747.0
102,01/01/2020,09/23/2023,"Talladega, AL",5,1,121,1121,Distribution of all-cause deaths (%),3422,298,0.729,0.264,,0.003,,,,Micropolitan,37831.0,41256.0,41231.0,40106.0
103,01/01/2020,09/23/2023,"Talladega, AL",5,1,121,1121,Distribution of COVID-19 deaths (%),3422,298,0.695,0.292,,,,,,Micropolitan,37831.0,41256.0,41231.0,40106.0
104,01/01/2020,09/23/2023,"Talladega, AL",5,1,121,1121,Distribution of population (%),3422,298,0.621,0.329,0.003,0.006,0.0,0.025,0.017,Micropolitan,37831.0,41256.0,41231.0,40106.0
105,01/01/2020,09/23/2023,"Tallapoosa, AL",6,1,123,1123,Distribution of all-cause deaths (%),2148,181,0.789,0.204,,,,,,Noncore,44621.0,47953.0,48764.0,47112.666666666664
106,01/01/2020,09/23/2023,"Tallapoosa, AL",6,1,123,1123,Distribution of COVID-19 deaths (%),2148,181,0.757,0.243,,,,,,Noncore,44621.0,47953.0,48764.0,47112.666666666664
107,01/01/2020,09/23/2023,"Tallapoosa, AL",6,1,123,1123,Distribution of population (%),2148,181,0.686,0.267,0.004,0.006,0.0,0.025,0.012,Noncore,44621.0,47953.0,48764.0,47112.666666666664
108,01/01/2020,09/23/2023,"Tuscaloosa, AL",4,1,125,1125,Distribution of all-cause deaths (%),9112,1116,0.652,0.333,,0.004,,0.009,0.002,Small metro,39137.0,40964.0,41232.0,40444.333333333336
109,01/01/2020,09/23/2023,"Tuscaloosa, AL",4,1,125,1125,Distribution of COVID-19 deaths (%),9112,1116,0.6,0.378,,,,0.015,,Small metro,39137.0,40964.0,41232.0,40444.333333333336
110,01/01/2020,09/23/2023,"Tuscaloosa, AL",4,1,125,1125,Distribution of population (%),9112,1116,0.603,0.325,0.002,0.016,0.0,0.04,0.013,Small metro,39137.0,40964.0,41232.0,40444.333333333336
111,01/01/2020,09/23/2023,"Walker, AL",2,1,127,1127,Distribution of all-cause deaths (%),3837,374,0.943,0.051,,,,0.003,,Large fringe metro,42856.0,45994.0,46698.0,45182.666666666664
112,01/01/2020,09/23/2023,"Walker, AL",2,1,127,1127,Distribution of COVID-19 deaths (%),3837,374,0.941,0.051,,,,,,Large fringe metro,42856.0,45994.0,46698.0,45182.666666666664
113,01/01/2020,09/23/2023,"Walker, AL",2,1,127,1127,Distribution of population (%),3837,374,0.886,0.06,0.004,0.005,0.0,0.028,0.016,Large fringe metro,42856.0,45994.0,46698.0,45182.666666666664
114,01/01/2020,09/23/2023,"Baxter, AR",5,5,5,5005,Distribution of all-cause deaths (%),3656,381,0.988,,,,,0.005,,Micropolitan,41064.0,43971.0,44402.0,43145.666666666664
115,01/01/2020,09/23/2023,"Baxter, AR",5,5,5,5005,Distribution of COVID-19 deaths (%),3656,381,0.99,,,,,,,Micropolitan,41064.0,43971.0,44402.0,43145.666666666664
116,01/01/2020,09/23/2023,"Baxter, AR",5,5,5,5005,Distribution of population (%),3656,381,0.943,0.005,0.007,0.005,0.001,0.026,0.014,Micropolitan,41064.0,43971.0,44402.0,43145.666666666664
117,01/01/2020,09/23/2023,"Benton, AR",3,5,7,5007,Distribution of all-cause deaths (%),8266,1098,0.919,0.008,0.009,0.007,0.008,0.045,0.004,Medium metro,83178.0,94227.0,98822.0,92075.66666666669
118,01/01/2020,09/23/2023,"Benton, AR",3,5,7,5007,Distribution of COVID-19 deaths (%),8266,1098,0.856,0.009,0.009,,0.027,0.086,,Medium metro,83178.0,94227.0,98822.0,92075.66666666669
119,01/01/2020,09/23/2023,"Benton, AR",3,5,7,5007,Distribution of population (%),8266,1098,0.719,0.019,0.014,0.045,0.007,0.173,0.024,Medium metro,83178.0,94227.0,98822.0,92075.66666666669
120,01/01/2020,09/23/2023,"Boone, AR",5,5,9,5009,Distribution of all-cause deaths (%),1870,169,0.981,,,,,0.01,,Micropolitan,38572.0,42474.0,42367.0,41137.666666666664
121,01/01/2020,09/23/2023,"Boone, AR",5,5,9,5009,Distribution of COVID-19 deaths (%),1870,169,0.959,,,,,,,Micropolitan,38572.0,42474.0,42367.0,41137.666666666664
122,01/01/2020,09/23/2023,"Boone, AR",5,5,9,5009,Distribution of population (%),1870,169,0.935,0.005,0.008,0.006,0.001,0.027,0.018,Micropolitan,38572.0,42474.0,42367.0,41137.666666666664
123,01/01/2020,09/23/2023,"Craighead, AR",4,5,31,5031,Distribution of all-cause deaths (%),8680,1156,0.866,0.119,,0.003,,0.009,0.001,Small metro,42319.0,46746.0,46373.0,45146.0
124,01/01/2020,09/23/2023,"Craighead, AR",4,5,31,5031,Distribution of COVID-19 deaths (%),8680,1156,0.824,0.159,,,,0.013,,Small metro,42319.0,46746.0,46373.0,45146.0
125,01/01/2020,09/23/2023,"Craighead, AR",4,5,31,5031,Distribution of population (%),8680,1156,0.743,0.169,0.003,0.013,0.0,0.053,0.018,Small metro,42319.0,46746.0,46373.0,45146.0
126,01/01/2020,09/23/2023,"Faulkner, AR",3,5,45,5045,Distribution of all-cause deaths (%),4648,496,0.895,0.083,0.004,0.003,,0.012,0.003,Medium metro,44624.0,47383.0,48161.0,46722.666666666664
127,01/01/2020,09/23/2023,"Faulkner, AR",3,5,45,5045,Distribution of COVID-19 deaths (%),4648,496,0.879,0.089,,,,0.02,,Medium metro,44624.0,47383.0,48161.0,46722.666666666664
128,01/01/2020,09/23/2023,"Faulkner, AR",3,5,45,5045,Distribution of population (%),4648,496,0.795,0.122,0.005,0.012,0.001,0.043,0.021,Medium metro,44624.0,47383.0,48161.0,46722.666666666664
129,01/01/2020,09/23/2023,"Garland, AR",4,5,51,5051,Distribution of all-cause deaths (%),7691,787,0.895,0.076,0.002,0.002,,0.015,0.009,Small metro,45130.0,47762.0,48507.0,47133.0
130,01/01/2020,09/23/2023,"Garland, AR",4,5,51,5051,Distribution of COVID-19 deaths (%),7691,787,0.858,0.1,,,,0.032,,Small metro,45130.0,47762.0,48507.0,47133.0
131,01/01/2020,09/23/2023,"Garland, AR",4,5,51,5051,Distribution of population (%),7691,787,0.814,0.086,0.006,0.008,0.001,0.061,0.023,Small metro,45130.0,47762.0,48507.0,47133.0
132,01/01/2020,09/23/2023,"Independence, AR",5,5,63,5063,Distribution of all-cause deaths (%),2363,338,0.966,0.017,,,,0.012,,Micropolitan,38571.0,43048.0,44216.0,41945.0
